"Cooperative	 ",Cooperative No,License No
"Luyando Savings Multipurpose Cooperative Society Limited		",42024028193,
"Lwiito Women in Mining Multi-Purpose Co-operative Society Limited		",42024030153,
"Machila Mining Cooperative Society Limited		",42023017582,
"Madibba Resources MultiPurpose Cooperatives Society Limited		",420220116395,
"MADU		",  ,
"MAJATANE Mining cooperative	Limited	",420220121638,
"Malende Mining Multi-Purpose Co-operative Society Limited		",42024028319,
"Mamamu MPCs		",420220110452,
"Mango Cattle Farmers Co-operative Society Limited		",4291,
"Mapanza Chiefdom Multipurpose Cooperative  Society Limited		",420220112411,
"Mapatizya Central Multi-Purpose Cooperative Society Limited		",32894,
"Mapenzi Nkuyanda MPC Society Limited		",420220113485,
"Masekese Hills Mining Cooperative Society Limited		",420210093401,
"Masepa Women in Mining Multi-purpose Co-operative Society Limited	",42024028116,
Masimpe Mining Multi-Purpose Society,42033016827,
"Masters of Creation Multi-Purpose Co-operative Society Limited		",42025044586,
"Mazabuka Quarry Mining Multi-Purpose Cooperative Society Ltd		",42023012224,
"Mbabani Multi-purpose Co-operatve Society Limited		",420150040078,
"MBEZA RIVER Mining Co-operative		",,
Mbiya Mining Multi - Purpose Co - operative Society Limited,42026050579,
"Memory Kambulu Resources Limited		",,14683-HQ-SML
MIBEZ Mining Cooperative Society Limited,420200083924,
"Milemba Mining  Multi Purpose Cooperative Society Limited		",42025039152,
"Moomba Multi-Purpose Youth Co-operative		",,
"Moongolo Mining Co-operative Society Limited		",42026046402,
"MOSENI Multipurpose Co-operative Society Limited		",42022001819,
"Mount Horeb Mine		",,7016-HQ-SML
"Moyo Chiefdom Multi-purpose Co-operative Society Limited		",42024021784,
"Mpazhi Multi-Purpose Co-operative Society Limited		",42024021177,
"Mpepo South Farmers Co-operative Society Limited		",419990007772,
"Mpongosa Mining Co-operative Society Limited		",42025045665,
"MUBOTU MULTI-PURPOSE COOPERATIVE		",,
"Muchenje Agricultural Co-operative Society Limited		",420060013914,
"Mukwalantila Mining Co-operative Society Limited		",42024029583,
"Mumenemene Youth MPCs		",420210097358,
"Munalu Small Scale Mining Co-operative Society Limited		",420220121041,
"Munyamakazi Mining Co-operative Society Limited		",420220114018,
"Musanza Exploration and Mining Co-operative Society Limited 		",420230149003,
"Musia Mining Co-operative Society Limited		",42025045137,
"Musokontwelele Mining Cooperative Society Limited		",420220110359,
"Mutabi Mutanzi Multi-Purpose Co-operative Society Limited		",420220108677,
"Mutoka Women in Mining Co-operative Society Limited		",42025045930,
"Mutuswene Multi-purpose Cooperative Society Limited		",42025031641,
"Muyongo Shilenga Small Scale Mining Co-operative Society Limited		",42023015397,
"Mwaatambulwa Multi-Purpose Co-operative	Society Limited",42023017108,
"Mwamuka Multi-Purpose Co-operative Society		",16685,
"Mwashibana Multi-Purpose Co-operative Society Limited		",42022001893,
"Mwebebonse Youth Multi- Purpose Co-operative Society Limited		",42025041223,
"Mweebele Multi-purpose Purpose Cooperative Society Limited		",42024021978,
"Mwembezinga Multi Purpose Co-operative Limited		",42022000882,
"Mwesia Multi-purpose Cooperative Society Limited		",420220094529,
"Nakambala Mining Co-operative Society Limited		",42026047297,
"Nakanjele Small scale Mining Co-operative Society Limited		",42025045685,
"Nakapoli Multi-purpose cooperatve Society		",44861,
"Nanjili Mining Multi Purpose  Cooperative Society Limited		",420255200758,
"Napro Multi-Purpose Co-operative Society Limited		",20210090783,
"Navikakande Multi-Purpose Co-operative Society Limited		",42025043005,
"NCICESU Multi-purpose Mining Cooperative Society LTD		",42025041023,
"New Mutumbi Multi-Purpose Co-operative Society Limited		",42023005009,
"Ngubeka Mining Limited		",120200007041,
"Njoonda Mining Co-operative Society Limited		",42025031686,
"Nkabanabana Mining Co-operative Society Limited		",42022004144,
"Nkembule Multi-purpose Co-operative Society Limited		",42024027794,
"Novaterra Mining Co-operative Society Limited		",42025045428,
"Ntengwa Mubili Multi-Purpose Co-operative Society Limited M		",420210092859,
"Ntole Chamukwapulo Community Service Society		",ORS/102/82/21978,
"One Choice Multi-Purpose Cooperative Society Limited		",420220107279,
"One Vision Mining and Trading Co-operative Society Limited		",42026049008,
"Oyamika Multi-Purpose Co-operative Society Limited		",42022004395,
"Pacha MPCs		",420210100754,
"Physically Challenged Care Multi-Purpose Co-operative Society Limited		",,MS46B-HQ-AMR
"Poliwo Multi-purpose Cooperative		",420200078205,
"Powerful Women Multi-Purpose Co-operative Society Limited		",42026049934,
"Progenda Multi-purpose Co-operative Society Limited		",42025042370,
"Promado Women Multi-Purpose Co-operative Society Limited		",42023006620,
"Protracted Innovations Mining Co-operative Society Limited		",42025042490,
"Push Up Multi Purpose Cooperative Society Limited		",42022001449,
"RAMPLIS MINING CO-OPERATIVE SOCIETY LIMITED		",42025032315,
"Redaaption Multi-purpose Co-operative Society Limited		",42024028388,
"Retwazwane Multi-Purpose Co-operative Society Limited		",29812,
"Riverside Kabuka Multi - Purpose Co-operative Society Limited		",42024022484,
"Rockview Security Mining Co-operative Society Limited		",42023043295,
"Salima Women's Multi-Purpose Co-operative Society Limited		",42025043474,
"Samala Mau Multipurpose Co-operative Society Limited		",42022000741,
"SASICA Multi-Purpose Cooperative Society Limited		",420220116507,
"Seed Sowers Multi-purpose Co-operative Society Limited		",420220108437,
"Shatunka MPCs		",,
"Siabalumbi Mining Co-operative Society Limited		",42024025330,
"Siambambi Women in Mining Co-operative Society Limited		",42025044238,
"SIANZ MULTI-PURPOSE COOPERATIVE SOCIETY 25 LIMITED		",42024024635,
"Siasesa Multipurpose Co-operative Society Limited		",42025032510,
"Siavonga Mining Multi- Purpose Cooperative Society  Limited		",42023017017,
"Sika - Chilobe Multi purpose Co-operative Society Limited		",,
"Sikuteka Mining Co-operative Society Limited		",42022001374,
